timestamp,timestamp_iso,dpid,port,role,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,byte_delta,packet_delta,drop_delta,throughput_bps,port_bw_mbps,load,loss
1780246046.975462,2026-06-01T00:47:26,12,1,dorm_ap,49195,6444,604,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246046.98552,2026-06-01T00:47:26,9,1,dorm_ap,476029,783503668,1411,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246046.995577,2026-06-01T00:47:26,10,1,dorm_ap,775599574,438551,513615,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246047.0028903,2026-06-01T00:47:27,7,1,teaching_ap,49579,5743,612,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246047.0116682,2026-06-01T00:47:27,11,1,dorm_ap,49537,6208,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246047.0453117,2026-06-01T00:47:27,8,1,teaching_ap,49170,6304,603,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246047.0751984,2026-06-01T00:47:27,5,1,teaching_ap,454156,753464926,1376,498524,0,0,0,0,0,0.0,100,0.0,0.0
1780246047.08974,2026-06-01T00:47:27,14,1,data_access,50565,5508,623,54,0,0,0,0,0,0.0,1000,0.0,0.0
1780246056.8443646,2026-06-01T00:47:36,6,1,teaching_ap,745882904,418723,493965,898,0,0,0,0,0,0.0,100,0.0,0.0
1780246056.8609266,2026-06-01T00:47:36,10,1,dorm_ap,775599574,438551,513615,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246056.9036787,2026-06-01T00:47:36,13,1,data_access,50016,6035,616,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246056.9186592,2026-06-01T00:47:36,7,1,teaching_ap,49579,5743,612,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246056.9343636,2026-06-01T00:47:36,14,1,data_access,50565,5508,623,54,0,0,0,0,0,0.0,1000,0.0,0.0
1780246056.9454205,2026-06-01T00:47:36,15,1,data_access,50495,5578,622,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246056.9528275,2026-06-01T00:47:36,8,1,teaching_ap,49170,6304,603,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246056.9631627,2026-06-01T00:47:36,12,1,dorm_ap,49195,6444,604,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246056.9733233,2026-06-01T00:47:36,5,1,teaching_ap,454156,753464926,1376,498524,0,0,0,0,0,0.0,100,0.0,0.0
1780246056.9814696,2026-06-01T00:47:36,11,1,dorm_ap,49537,6208,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246056.9963777,2026-06-01T00:47:36,16,1,data_access,50738,5018,626,47,0,0,0,0,0,0.0,1000,0.0,0.0
1780246057.0047657,2026-06-01T00:47:37,9,1,dorm_ap,476029,783503668,1411,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246066.8481383,2026-06-01T00:47:46,6,1,teaching_ap,745882904,418723,493965,898,0,0,0,0,0,0.0,100,0.0,0.0
1780246066.8687148,2026-06-01T00:47:46,14,1,data_access,50565,5508,623,54,0,0,0,0,0,0.0,1000,0.0,0.0
1780246066.8915162,2026-06-01T00:47:46,13,1,data_access,50016,6035,616,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246066.9163365,2026-06-01T00:47:46,10,1,dorm_ap,775599574,438551,513615,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246066.9970322,2026-06-01T00:47:46,11,1,dorm_ap,49537,6208,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246067.0112398,2026-06-01T00:47:47,9,1,dorm_ap,476029,783503668,1411,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246067.0286632,2026-06-01T00:47:47,15,1,data_access,50495,5578,622,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246067.0442266,2026-06-01T00:47:47,7,1,teaching_ap,49579,5743,612,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246067.0638883,2026-06-01T00:47:47,5,1,teaching_ap,454156,753464926,1376,498524,0,0,0,0,0,0.0,100,0.0,0.0
1780246067.1082668,2026-06-01T00:47:47,12,1,dorm_ap,49195,6444,604,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246067.1571503,2026-06-01T00:47:47,8,1,teaching_ap,49170,6304,603,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246067.1715262,2026-06-01T00:47:47,16,1,data_access,50738,5018,626,47,0,0,0,0,0,0.0,1000,0.0,0.0
1780246076.8655643,2026-06-01T00:47:56,6,1,teaching_ap,745882904,418723,493965,898,0,0,0,0,0,0.0,100,0.0,0.0
1780246076.8868134,2026-06-01T00:47:56,10,1,dorm_ap,775599574,438551,513615,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246076.9167216,2026-06-01T00:47:56,14,1,data_access,50565,5508,623,54,0,0,0,0,0,0.0,1000,0.0,0.0
1780246076.944588,2026-06-01T00:47:56,8,1,teaching_ap,49170,6304,603,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246076.961066,2026-06-01T00:47:56,13,1,data_access,50016,6035,616,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246076.976551,2026-06-01T00:47:56,7,1,teaching_ap,49579,5743,612,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246077.0022352,2026-06-01T00:47:57,16,1,data_access,50738,5018,626,47,0,0,0,0,0,0.0,1000,0.0,0.0
1780246077.0369468,2026-06-01T00:47:57,15,1,data_access,50495,5578,622,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246077.0638645,2026-06-01T00:47:57,11,1,dorm_ap,49537,6208,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246077.1108196,2026-06-01T00:47:57,12,1,dorm_ap,49195,6444,604,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246077.1329584,2026-06-01T00:47:57,9,1,dorm_ap,476029,783503668,1411,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246077.1701114,2026-06-01T00:47:57,5,1,teaching_ap,454156,753464926,1376,498524,0,0,0,0,0,0.0,100,0.0,0.0
1780246086.8605688,2026-06-01T00:48:06,6,1,teaching_ap,745882904,418723,493965,898,0,0,0,0,0,0.0,100,0.0,0.0
1780246086.8922012,2026-06-01T00:48:06,13,1,data_access,50016,6035,616,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246086.9005508,2026-06-01T00:48:06,8,1,teaching_ap,49170,6304,603,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246086.9091284,2026-06-01T00:48:06,14,1,data_access,50565,5508,623,54,0,0,0,0,0,0.0,1000,0.0,0.0
1780246086.9677424,2026-06-01T00:48:06,10,1,dorm_ap,775599574,438551,513615,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246086.9872644,2026-06-01T00:48:06,11,1,dorm_ap,49537,6208,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246087.00807,2026-06-01T00:48:07,5,1,teaching_ap,454156,753464926,1376,498524,0,0,0,0,0,0.0,100,0.0,0.0
1780246087.034652,2026-06-01T00:48:07,7,1,teaching_ap,49579,5743,612,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246087.047035,2026-06-01T00:48:07,15,1,data_access,50495,5578,622,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246087.0648074,2026-06-01T00:48:07,12,1,dorm_ap,49195,6444,604,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246087.0751095,2026-06-01T00:48:07,9,1,dorm_ap,476029,783503668,1411,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246087.0834453,2026-06-01T00:48:07,16,1,data_access,50738,5018,626,47,0,0,0,0,0,0.0,1000,0.0,0.0
1780246096.8684957,2026-06-01T00:48:16,6,1,teaching_ap,745882904,418723,493965,898,0,0,0,0,0,0.0,100,0.0,0.0
1780246096.9500473,2026-06-01T00:48:16,7,1,teaching_ap,49579,5743,612,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246096.9998355,2026-06-01T00:48:16,16,1,data_access,50738,5018,626,47,0,0,0,0,0,0.0,1000,0.0,0.0
1780246097.034323,2026-06-01T00:48:17,5,1,teaching_ap,454156,753464926,1376,498524,0,0,0,0,0,0.0,100,0.0,0.0
1780246097.069813,2026-06-01T00:48:17,12,1,dorm_ap,49195,6444,604,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246097.103485,2026-06-01T00:48:17,15,1,data_access,50495,5578,622,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246097.119183,2026-06-01T00:48:17,9,1,dorm_ap,476029,783503668,1411,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246097.1404169,2026-06-01T00:48:17,8,1,teaching_ap,49170,6304,603,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246097.1685057,2026-06-01T00:48:17,10,1,dorm_ap,775599574,438551,513615,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246097.1848922,2026-06-01T00:48:17,14,1,data_access,50565,5508,623,54,0,0,0,0,0,0.0,1000,0.0,0.0
1780246097.200623,2026-06-01T00:48:17,11,1,dorm_ap,49537,6208,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246097.2155406,2026-06-01T00:48:17,13,1,data_access,50016,6035,616,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246106.8740363,2026-06-01T00:48:26,6,1,teaching_ap,745883184,418793,493969,899,0,0,350,5,0,279.8449488457149,100,2.798449488457149e-06,0.0
1780246106.9267197,2026-06-01T00:48:26,10,1,dorm_ap,775599924,438551,513620,902,0,0,350,5,0,286.9377532500494,100,2.8693775325004942e-06,0.0
1780246106.962798,2026-06-01T00:48:26,14,1,data_access,50845,5578,627,55,0,0,350,5,0,286.35988287190594,1000,2.8635988287190594e-07,0.0
1780246106.9956465,2026-06-01T00:48:26,7,1,teaching_ap,49929,5743,617,60,0,0,350,5,0,278.72901736084503,100,2.7872901736084502e-06,0.0
